Class,Availability,Downtime,Avg Sojourn (h),MTTF (h)
ambulance_station,0.9999999999999998,2.5863287970448026e-223,1.1099520099930338e-221,5.660522521923511e+223
atm,1.0,1.9587308817779508e-177,1.4059032038795044e-175,2.375447238002848e+178
bank,1.0,1.1689546013712467e-177,6.629423072110151e-176,2.3754472380032106e+178
gov_office,1.0,8.0739454151758e-178,4.339784141637029e-176,2.3754472380027726e+178
h3_matrix,1.0,4.2691730654082896e-89,1.4914384804676564e-86,1.3576990285330554e+89
hospital,1.0,2.387143299263033e-223,1.0473258397788289e-221,5.660522521923213e+223
power,0.9999999999999998,4.22289422615125e-133,3.3778474907117303e-131,3.147086953815903e+133
surveillance,0.9999999999999999,1.9542010613502173e-88,1.945167747787061e-86,1.3576990285331487e+89
telecom,0.9999999999999999,8.715019636881136e-133,5.938492866451867e-131,3.147086953813925e+133
